SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
106064,0,0,0,0,1,0,315000.0,790830.0,62613.0,675000.0,6,5,1,2,1,0.010147,-15519,-1212,-321.0,-2175,,1,1,0,1,0,0,2,1.0,2,2,1,12,0,0,0,0,1,1,22,0.6498558928759478,0.2016822473322028,0.4596904504249018,0.1474,0.057,0.9851,,,0.04,0.0345,0.3333,,0.0661,,0.098,,0.0889,0.1502,0.0591,0.9851,,,0.0403,0.0345,0.3333,,0.0676,,0.1021,,0.0941,0.1489,0.057,0.9851,,,0.04,0.0345,0.3333,,0.0672,,0.0997,,0.0907,0,0,0.0771,5,0,0.0,0.0,0.0,0.0,-2933.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
108074,0,0,1,0,1,2,67500.0,45000.0,4774.5,45000.0,1,5,4,1,1,0.01885,-12839,-1544,-677.0,-2573,,1,1,1,1,1,0,10,4.0,2,2,2,14,0,0,0,0,1,1,37,0.23849425458396595,0.13185567130851633,0.5814837058057234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,5.0,0.0,5.0,0.0,-346.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
121927,1,0,0,1,1,1,202500.0,196677.0,21312.0,184500.0,5,5,4,1,1,0.031329,-11708,-2470,-4557.0,-408,0.0,1,1,0,1,0,0,10,3.0,2,2,0,17,0,0,0,0,0,0,37,0.05322687168938048,0.16214456766623808,0.33285056416487313,0.0371,0.0,0.9747,0.6532,0.0031,0.0,0.1034,0.0833,0.125,0.0505,0.0303,0.0297,0.0,0.0,0.0378,0.0,0.9747,0.6668,0.0031,0.0,0.1034,0.0833,0.125,0.0516,0.0331,0.0309,0.0,0.0,0.0375,0.0,0.9747,0.6578,0.0031,0.0,0.1034,0.0833,0.125,0.0514,0.0308,0.0302,0.0,0.0,3,0,0.025,5,0,1.0,0.0,1.0,0.0,-1157.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
101188,0,1,0,1,1,0,112500.0,337500.0,16875.0,337500.0,6,0,4,1,1,0.010556,-14193,-1895,-1743.0,-5349,9.0,1,1,0,1,1,0,0,2.0,3,3,0,16,0,0,0,0,1,1,37,0.7615210792619244,0.3302006808987845,0.8050196619153701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,0.0,0.0,0.0,0.0,-1152.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
118895,0,0,1,0,0,0,135000.0,601470.0,32760.0,450000.0,6,5,4,3,5,0.010147,-8278,-327,-946.0,-958,,1,1,0,1,0,1,10,1.0,2,2,0,15,0,0,0,0,1,1,37,0.41103982741816997,0.10838453712326693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,0,0.0,0.0,0.0,0.0,-592.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103444,0,0,1,1,1,0,270000.0,1017000.0,41548.5,1017000.0,6,5,1,1,1,0.005002,-12765,-741,-2546.0,-4703,8.0,1,1,0,1,0,1,2,2.0,3,3,3,12,0,0,0,0,0,0,55,0.8299335925972424,0.775710152979941,0.7700870700124128,0.0784,0.0464,0.9876,0.83,0.0139,0.08,0.069,0.3333,0.375,0.0592,0.063,0.0728,0.0039,0.0051,0.0798,0.0481,0.9876,0.8367,0.013999999999999999,0.0806,0.069,0.3333,0.375,0.0606,0.0689,0.0758,0.0039,0.0054,0.0791,0.0464,0.9876,0.8323,0.013999999999999999,0.08,0.069,0.3333,0.375,0.0603,0.0641,0.0741,0.0039,0.0052,3,0,0.066,4,0,0.0,0.0,0.0,0.0,-2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102481,0,0,0,1,0,0,126000.0,585000.0,43740.0,585000.0,6,5,4,1,1,0.010276,-16432,-275,-2446.0,-3882,7.0,1,1,0,1,0,0,12,2.0,2,2,4,14,0,0,0,0,1,1,42,,0.3612031503751609,0.5849900404894085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,4.0,1.0,4.0,0.0,-224.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
102208,1,1,1,1,1,0,180000.0,157500.0,7875.0,157500.0,6,5,4,1,1,0.018029,-12184,-3268,-39.0,-1100,5.0,1,1,0,1,0,0,13,2.0,3,3,6,10,0,0,0,0,0,0,51,0.10475522064540058,0.557698267478408,,0.1031,0.08199999999999999,0.9752,0.66,0.0659,0.0,0.1724,0.1667,0.2083,0.1125,0.0841,0.0887,0.0,0.0,0.105,0.0851,0.9752,0.6733,0.0665,0.0,0.1724,0.1667,0.2083,0.115,0.0918,0.0924,0.0,0.0,0.1041,0.08199999999999999,0.9752,0.6645,0.0663,0.0,0.1724,0.1667,0.2083,0.1144,0.0855,0.0903,0.0,0.0,3,0,0.1058,4,0,0.0,0.0,0.0,0.0,-216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
115989,1,0,1,1,1,0,360000.0,790830.0,52978.5,675000.0,6,0,2,1,1,0.007305,-19834,-477,-8098.0,-3273,10.0,1,1,0,1,0,0,2,2.0,3,3,1,12,0,0,0,0,0,0,45,,0.3238050976598898,0.31703177858344445,,,0.9886,,,,,,,,,0.2251,,,,,0.9886,,,,,,,,,0.2346,,,,,0.9886,,,,,,,,,0.2292,,,0,1,0.1771,7,0,0.0,0.0,0.0,0.0,-2502.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
115331,0,0,0,1,0,0,215100.0,715765.5,68089.5,688500.0,6,2,1,1,1,0.04622,-22336,-12523,-8907.0,-4632,17.0,1,1,0,1,0,0,2,2.0,1,1,1,10,0,0,0,0,0,0,33,,0.6854779234048741,0.4241303111942548,0.0103,0.0,0.9732,,,0.0,0.2414,0.0,,0.023,,0.0073,,0.0,0.0105,0.0,0.9732,,,0.0,0.2414,0.0,,0.0235,,0.0076,,0.0,0.0104,0.0,0.9732,,,0.0,0.2414,0.0,,0.0234,,0.0075,,0.0,0,0,0.0058,5,0,2.0,0.0,2.0,0.0,-1607.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
