SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
114453,0,0,0,0,1,0,202500,823621.5,26302.5,711000,6,1,1,1,1,0.030755,-22826,365243,-3570,-4272,,1,0,0,1,0,0,10,2,2,2,0,11,0,0,0,0,0,0,53,,0.263143591,,0.2062,0.1342,0.9906,0.8708,0.0307,0.2,0.1724,0.375,0.4167,0.0767,0.1681,0.2155,0,0,0.2101,0.1393,0.9906,0.8759,0.0309,0.2014,0.1724,0.375,0.4167,0.0785,0.1837,0.2246,0,0,0.2082,0.1342,0.9906,0.8725,0.0309,0.2,0.1724,0.375,0.4167,0.0781,0.171,0.2194,0,0,4,0,0.1695,5,0,1,0,1,0,-408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
110539,0,0,0,0,1,0,337500,497520,53712,450000,6,5,4,1,1,0.02461,-17612,-208,-2939,-299,,1,1,0,1,1,0,6,2,2,2,5,16,0,0,0,0,0,0,37,,0.648285771,0.367291018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,1,1,1,1,-1493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
108429,0,0,0,0,1,0,63000,225000,23184,225000,6,1,4,3,1,0.031329,-22430,365243,-1340,-4881,,1,0,0,1,1,0,10,1,2,2,4,8,0,0,0,0,0,0,53,,0.524719417,0.673830078,0.0216,0.0185,0.9727,0.626,0.0012,0,0.069,0.0417,0.0833,0.0243,0.0177,0.0062,0,0,0.0221,0.0192,0.9727,0.6406,0.0012,0,0.069,0.0417,0.0833,0.0248,0.0193,0.0064,0,0,0.0219,0.0185,0.9727,0.631,0.0012,0,0.069,0.0417,0.0833,0.0247,0.018,0.0063,0,0,3,0,0.0049,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
121343,0,0,0,0,0,0,135000,152820,16587,135000,6,1,4,2,1,0.00712,-21386,365243,-3790,-4934,,1,0,0,1,0,0,10,1,2,2,1,9,0,0,0,0,0,0,53,,0.516582361,0.651260219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,0,0,0,0,-844,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106636,0,0,1,1,1,0,180000,124722,14800.5,117000,1,0,4,1,1,0.00702,-12291,-5268,-2076,-96,4,1,1,1,1,1,0,17,2,2,2,6,11,0,0,0,0,1,1,49,0.358478658,0.420643123,,,,0.9752,,,,,,,,,0.0227,,,,,0.9752,,,,,,,,,0.0236,,,,,0.9752,,,,,,,,,0.0231,,,0,1,0.0355,7,0,8,2,7,1,-35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114972,0,0,0,0,1,0,157500,284400,16456.5,225000,6,1,4,4,1,0.020713,-24120,365243,-14287,-3627,,1,0,0,1,0,0,10,1,3,2,0,12,0,0,0,0,0,0,53,,0.373961666,,0.0629,0.0932,0.9727,0.626,0.0085,0,0.1379,0.1667,0.2083,0.0489,0.0496,0.0715,0.0077,0.0106,0.0641,0.0967,0.9727,0.6406,0.0085,0,0.1379,0.1667,0.2083,0.05,0.0542,0.0745,0.0078,0.0113,0.0635,0.0932,0.9727,0.631,0.0085,0,0.1379,0.1667,0.2083,0.0497,0.0504,0.0728,0.0078,0.0109,3,0,0.0632,5,0,0,0,0,0,-234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104090,1,0,1,0,1,0,121500,204768,16308,162000,5,5,4,1,1,0.003813,-11632,-473,-5381,-4227,,1,1,0,1,0,0,17,2,2,2,4,6,0,0,0,0,1,1,37,,0.324193049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,5,0,5,0,-260,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
121309,1,0,1,0,1,0,382500,1190340,66595.5,1125000,6,0,4,1,1,0.04622,-14371,-1081,-1730,-2060,,1,1,1,1,0,1,10,2,1,1,6,9,0,0,0,0,1,1,45,0.291218508,0.315634318,,0.0361,0.0614,0.9816,0.7484,0.0026,0.04,0.0345,0.3333,0.0417,0.0105,0.0294,0.0715,,,0.0368,0.0637,0.9816,0.7583,0.0027,0.0403,0.0345,0.3333,0.0417,0.0107,0.0321,0.0745,,,0.0364,0.0614,0.9816,0.7518,0.0026,0.04,0.0345,0.3333,0.0417,0.0107,0.0299,0.0728,,,1,0,0.0629,5,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
116836,0,0,1,0,1,0,112500,490495.5,27387,454500,6,5,4,1,1,0.025164,-19839,-2498,-4272,-2927,,1,1,1,1,1,0,17,2,2,2,4,8,0,0,0,0,1,1,34,,0.573214722,0.812822607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,4,1,4,1,-723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123230,1,0,0,0,0,1,270000,567000,44928,567000,6,0,2,1,2,0.04622,-10318,-960,-5165,-3010,,1,1,0,1,0,1,15,3,1,1,4,14,0,0,0,0,1,1,35,0.267729537,0.58932424,0.441835823,0.1031,0,0.9742,,,0,0.1724,0.1667,,0.1231,,0.0886,,0.0265,0.105,0,0.9742,,,0,0.1724,0.1667,,0.1259,,0.0923,,0.0281,0.1041,0,0.9742,,,0,0.1724,0.1667,,0.1252,,0.0902,,0.0271,0,0,0.0754,4,0,3,0,3,0,-1001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
